Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25
Vegetables,400,Social Gathering,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,30
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15
Dairy Products,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20
Vegetables,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40
Vegetables,290,Social Gathering,374,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,27
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25
Vegetables,350,Corporate,450,Refrigerated,Regular,Summer,Buffet,Urban,High,40
Fruits,267,Wedding,480,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Low,30
Fruits,290,Birthday,374,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,27
Fruits,300,Wedding,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,35
Meat,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50
Fruits,250,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,High,30
Vegetables,310,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Rural,High,35
Meat,290,Social Gathering,374,Refrigerated,Regular,Summer,Finger Food,Rural,Low,27
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Buffet,Suburban,Low,10
Meat,400,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,10
Vegetables,350,Corporate,450,Refrigerated,Regular,Summer,Finger Food,Urban,High,30
Meat,300,Birthday,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20
Meat,261,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,23
Meat,400,Wedding,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,30
Vegetables,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40
Fruits,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30
Fruits,300,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,15
Vegetables,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15
Meat,220,Wedding,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,23
Vegetables,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15
Meat,250,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20
Baked Goods,380,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35
Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30
Dairy Products,230,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40
Dairy Products,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29
Fruits,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40
Vegetables,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,16
Vegetables,220,Social Gathering,300,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15
Baked Goods,280,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25
Vegetables,400,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,40
Baked Goods,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15
Baked Goods,400,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40
Dairy Products,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25
Meat,350,Social Gathering,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35
Dairy Products,300,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,High,35
Fruits,300,Corporate,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35
Dairy Products,472,Social Gathering,489,Room Temperature,Regular,Summer,Buffet,Urban,Low,36
Fruits,397,Wedding,482,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,31
Dairy Products,439,Birthday,459,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39
Vegetables,220,Corporate,300,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15
Fruits,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15
Fruits,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,300,Corporate,420,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50
Baked Goods,280,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35
Baked Goods,350,Corporate,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Dairy Products,400,Wedding,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35
Meat,350,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,45
Fruits,250,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20
Baked Goods,350,Corporate,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25
Dairy Products,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27
Dairy Products,400,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35
Dairy Products,280,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25
Meat,400,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,High,45
Baked Goods,320,Birthday,400,Room Temperature,Regular,Winter,Buffet,Rural,High,30
Fruits,310,Corporate,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25
Vegetables,220,Wedding,300,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,15
Vegetables,367,Social Gathering,420,Refrigerated,Regular,Summer,Buffet,Urban,Low,40
Meat,350,Birthday,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25
Dairy Products,250,Wedding,500,Room Temperature,Regular,Winter,Buffet,Urban,High,40
Dairy Products,472,Corporate,489,Room Temperature,Regular,Winter,Buffet,Urban,Low,36
Baked Goods,250,Wedding,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10
Fruits,220,Social Gathering,450,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20
Vegetables,380,Corporate,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30
Meat,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15
Fruits,400,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40
Fruits,380,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Buffet,Rural,Moderate,20
Meat,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Fruits,491,Birthday,497,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32
Fruits,380,Birthday,480,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30
Meat,292,Social Gathering,470,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50
Vegetables,400,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,25
Baked Goods,300,Birthday,450,Room Temperature,Regular,Summer,Finger Food,Suburban,High,35
Baked Goods,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15
Dairy Products,250,Corporate,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10
Baked Goods,220,Corporate,300,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,15
Fruits,230,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20
Vegetables,320,Birthday,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25
Baked Goods,450,Corporate,500,Room Temperature,Occasional,Summer,Finger Food,Urban,High,30
Fruits,400,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40
Fruits,342,Corporate,405,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,29
Dairy Products,400,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35
Vegetables,220,Corporate,300,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15
Vegetables,240,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,30
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30
Dairy Products,488,Corporate,498,Room Temperature,Regular,Summer,Finger Food,Suburban,High,63
Baked Goods,350,Birthday,450,Room Temperature,Occasional,All Seasons,Finger Food,Rural,High,30
Meat,230,Birthday,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,30
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15
Dairy Products,280,Wedding,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20
Fruits,400,Wedding,500,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,40
Baked Goods,380,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25
Fruits,250,Social Gathering,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20
Dairy Products,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15
Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Vegetables,320,Social Gathering,400,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25
Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20
Dairy Products,280,Corporate,480,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15
Dairy Products,450,Social Gathering,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30
Dairy Products,350,Wedding,450,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40
Vegetables,300,Social Gathering,400,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20
Baked Goods,220,Social Gathering,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,30
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20
Dairy Products,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25
Dairy Products,247,Social Gathering,348,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16
Dairy Products,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25
Dairy Products,400,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35
Meat,320,Birthday,400,Refrigerated,Regular,Winter,Buffet,Rural,High,30
Meat,280,Wedding,400,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,25
Meat,320,Corporate,400,Room Temperature,Regular,Summer,Buffet,Urban,High,45
Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25
Meat,350,Birthday,450,Refrigerated,Regular,Summer,Finger Food,Suburban,Low,20
Meat,400,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,35
Meat,350,Birthday,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30
Meat,350,Birthday,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30
Meat,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50
Fruits,320,Wedding,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15
Dairy Products,434,Social Gathering,495,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,36
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25
Meat,320,Birthday,480,Refrigerated,Regular,Winter,Buffet,Rural,High,40
Meat,350,Corporate,450,Refrigerated,Occasional,Summer,Buffet,Urban,High,40
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Buffet,Rural,High,30
Meat,310,Birthday,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,35
Meat,380,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,15
Meat,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15
Fruits,310,Wedding,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,35
Meat,434,Birthday,495,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,36
Fruits,488,Corporate,498,Room Temperature,Regular,Summer,Finger Food,Rural,High,63
Fruits,275,Corporate,388,Room Temperature,Regular,Winter,Finger Food,Urban,Low,16
Meat,300,Wedding,400,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,15
Meat,220,Wedding,300,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,15
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40
Meat,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15
Meat,220,Birthday,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15
Vegetables,350,Birthday,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,30
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15
Baked Goods,220,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15
Dairy Products,300,Birthday,400,Room Temperature,Regular,Summer,Buffet,Suburban,Low,20
Vegetables,280,Corporate,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20
Baked Goods,350,Corporate,450,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20
Fruits,280,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20
Baked Goods,320,Wedding,400,Room Temperature,Occasional,Summer,Buffet,Rural,High,35
Meat,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,20
Meat,207,Corporate,280,Room Temperature,Regular,Winter,Finger Food,Suburban,High,20
Fruits,275,Corporate,388,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,16
Vegetables,400,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35
Meat,250,Wedding,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20
Meat,400,Birthday,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40
Fruits,350,Birthday,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30
Baked Goods,300,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20
Meat,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,250,Birthday,350,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20
